[29-Apr-2022 09:38:33 UTC] PHP Parse error:  syntax error, unexpected '?>' in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\templates\front\vendor-list.php on line 35
[02-May-2022 06:07:38 UTC] PHP Parse error:  syntax error, unexpected 'print_r' (T_STRING), expecting ';' or ',' in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\templates\front\vendor-sold-by.php on line 32
[02-May-2022 06:08:46 UTC] PHP Parse error:  syntax error, unexpected 'print_r' (T_STRING), expecting ';' or ',' in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\templates\front\vendor-sold-by.php on line 33
[02-May-2022 06:09:07 UTC] PHP Parse error:  syntax error, unexpected 'print_r' (T_STRING), expecting ';' or ',' in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\templates\front\vendor-sold-by.php on line 33
[02-May-2022 06:09:29 UTC] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO), expecting ';' or ',' in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\templates\front\vendor-sold-by.php on line 33
[02-May-2022 06:14:03 UTC] PHP Parse error:  syntax error, unexpected 'print_r' (T_STRING), expecting ';' or ',' in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\includes\wcv-template-functions.php on line 226
[02-May-2022 06:14:03 UTC] PHP Notice:  is_page was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5775
[02-May-2022 06:14:03 UTC] PHP Notice:  is_singular was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5775
[02-May-2022 06:14:03 UTC] PHP Notice:  is_embed was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5775
[02-May-2022 06:14:03 UTC] PHP Notice:  is_search was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5775
[02-May-2022 06:14:07 UTC] PHP Parse error:  syntax error, unexpected 'print_r' (T_STRING), expecting ';' or ',' in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\includes\wcv-template-functions.php on line 226
[02-May-2022 06:14:07 UTC] PHP Notice:  is_page was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5775
[02-May-2022 06:14:07 UTC] PHP Notice:  is_singular was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5775
[02-May-2022 06:14:07 UTC] PHP Notice:  is_embed was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5775
[02-May-2022 06:14:07 UTC] PHP Notice:  is_search was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5775
[02-May-2022 07:05:25 UTC] PHP Notice:  Trying to get property 'ID' of non-object in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors-pro\public\class-wcvendors-pro-public.php on line 147
[02-May-2022 07:05:25 UTC] PHP Notice:  Trying to get property 'post_author' of non-object in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors-pro\public\class-wcvendors-pro-vendor-controller.php on line 1234
[02-May-2022 07:09:42 UTC] PHP Notice:  Trying to get property 'ID' of non-object in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors-pro\public\class-wcvendors-pro-public.php on line 147
[02-May-2022 07:09:42 UTC] PHP Notice:  Trying to get property 'post_author' of non-object in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors-pro\public\class-wcvendors-pro-vendor-controller.php on line 1234
[02-May-2022 07:39:25 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function wcv_get_vendor_sold_by() in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\templates\front\vendor-sold-by.php:29
Stack trace:
#0 C:\xampp\htdocs\meet_demo\wp-content\plugins\woocommerce\includes\wc-core-functions.php(345): include()
#1 C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\front\class-vendor-shop.php(228): wc_get_template('vendor-sold-by....', Array, 'wc-vendors/fron...', 'C:\\xampp\\htdocs...')
#2 C:\xampp\htdocs\meet_demo\wp-includes\class-wp-hook.php(307): WCV_Vendor_Shop::template_loop_sold_by('')
#3 C:\xampp\htdocs\meet_demo\wp-includes\class-wp-hook.php(331): WP_Hook->apply_filters(NULL, Array)
#4 C:\xampp\htdocs\meet_demo\wp-includes\plugin.php(474): WP_Hook->do_action(Array)
#5 C:\xampp\htdocs\meet_demo\wp-content\plugins\woocommerce\templates\content-product.php(65): do_action('woocommerce_aft...')
#6 C:\xampp\htdocs\meet_demo\wp-includes\template.php(772): require('C:\\xampp\\htdocs...')
#7 C:\xampp\htdocs\meet_demo\wp-con in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\templates\front\vendor-sold-by.php on line 29
[02-May-2022 07:40:02 UTC] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO), expecting ')' in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\classes\includes\wcv-template-functions.php on line 244
[02-May-2022 07:40:02 UTC] PHP Notice:  is_page was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5775
[02-May-2022 07:40:02 UTC] PHP Notice:  is_singular was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5775
[02-May-2022 07:40:02 UTC] PHP Notice:  is_embed was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5775
[02-May-2022 07:40:02 UTC] PHP Notice:  is_search was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5775
[02-May-2022 08:58:29 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:58:29 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:58:29 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:58:29 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:58:29 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:58:29 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:58:29 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:58:29 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:58:29 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:58:29 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:58:29 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:58:29 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:58:29 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:58:29 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:58:29 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:58:29 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:58:29 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:58:29 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:59:20 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:59:20 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:59:20 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:59:20 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:59:20 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:59:20 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:59:20 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:59:20 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:59:20 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:59:20 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:59:20 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:59:20 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:59:20 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:59:20 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:59:20 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:59:20 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:59:20 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:59:20 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:59:25 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:59:25 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:59:25 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:59:25 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:59:25 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:59:25 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:59:25 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:59:25 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:59:25 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:59:25 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:59:25 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:59:25 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 08:59:25 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:00:20 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:00:20 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:00:20 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:00:20 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:00:20 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:00:20 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:00:20 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:00:20 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:00:20 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:00:20 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:00:20 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:00:20 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:00:20 UTC] PHP Deprecated:  WP_User->id was called with an argument that is <strong>deprecated</strong> since version 2.1.0! Use <code>WP_User->ID</code> instead. in C:\xampp\htdocs\meet_demo\wp-includes\functions.php on line 5607
[02-May-2022 09:02:58 UTC] PHP Notice:  Trying to get property 'ID' of non-object in C:\xampp\htdocs\meet_demo\wp-content\themes\twentytwenty\functions.php on line 842
[02-May-2022 09:02:58 UTC] PHP Notice:  Trying to get property 'ID' of non-object in C:\xampp\htdocs\meet_demo\wp-content\themes\twentytwenty\functions.php on line 842
[02-May-2022 09:02:58 UTC] PHP Notice:  Trying to get property 'ID' of non-object in C:\xampp\htdocs\meet_demo\wp-content\themes\twentytwenty\functions.php on line 842
[02-May-2022 09:02:58 UTC] PHP Notice:  Trying to get property 'ID' of non-object in C:\xampp\htdocs\meet_demo\wp-content\themes\twentytwenty\functions.php on line 842
[02-May-2022 09:02:58 UTC] PHP Notice:  Trying to get property 'ID' of non-object in C:\xampp\htdocs\meet_demo\wp-content\themes\twentytwenty\functions.php on line 842
[02-May-2022 09:02:58 UTC] PHP Notice:  Trying to get property 'ID' of non-object in C:\xampp\htdocs\meet_demo\wp-content\themes\twentytwenty\functions.php on line 842
[02-May-2022 09:02:58 UTC] PHP Notice:  Trying to get property 'ID' of non-object in C:\xampp\htdocs\meet_demo\wp-content\themes\twentytwenty\functions.php on line 842
[02-May-2022 09:02:58 UTC] PHP Notice:  Trying to get property 'ID' of non-object in C:\xampp\htdocs\meet_demo\wp-content\themes\twentytwenty\functions.php on line 842
[02-May-2022 09:02:58 UTC] PHP Notice:  Trying to get property 'ID' of non-object in C:\xampp\htdocs\meet_demo\wp-content\themes\twentytwenty\functions.php on line 842
[02-May-2022 09:02:58 UTC] PHP Notice:  Trying to get property 'ID' of non-object in C:\xampp\htdocs\meet_demo\wp-content\themes\twentytwenty\functions.php on line 842
[02-May-2022 09:02:58 UTC] PHP Notice:  Trying to get property 'ID' of non-object in C:\xampp\htdocs\meet_demo\wp-content\themes\twentytwenty\functions.php on line 842
[02-May-2022 09:02:58 UTC] PHP Notice:  Trying to get property 'ID' of non-object in C:\xampp\htdocs\meet_demo\wp-content\themes\twentytwenty\functions.php on line 842
[02-May-2022 09:02:58 UTC] PHP Notice:  Trying to get property 'ID' of non-object in C:\xampp\htdocs\meet_demo\wp-content\themes\twentytwenty\functions.php on line 842
[02-May-2022 09:03:52 UTC] PHP Parse error:  syntax error, unexpected '=', expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in C:\xampp\htdocs\meet_demo\wp-content\themes\twentytwenty\functions.php on line 842
[02-May-2022 09:03:52 UTC] PHP Notice:  Trying to access array offset on value of type bool in C:\xampp\htdocs\meet_demo\wp-includes\class-wp-recovery-mode-email-service.php on line 351
[02-May-2022 09:03:52 UTC] PHP Notice:  Trying to access array offset on value of type bool in C:\xampp\htdocs\meet_demo\wp-includes\class-wp-recovery-mode-email-service.php on line 352
[02-May-2022 09:03:53 UTC] PHP Parse error:  syntax error, unexpected '=', expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in C:\xampp\htdocs\meet_demo\wp-content\themes\twentytwenty\functions.php on line 842
[02-May-2022 09:03:55 UTC] PHP Parse error:  syntax error, unexpected '=', expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in C:\xampp\htdocs\meet_demo\wp-content\themes\twentytwenty\functions.php on line 842
